City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Vanimo,PG,-2.6741,141.3028,77.54,89,92,3.69,overcast clouds
293,Muros,ES,42.7762,-9.0603,51.15,62,26,16.8,scattered clouds
294,Kaseda,JP,31.4167,130.3167,38.68,92,91,8.48,overcast clouds
295,College,US,64.8569,-147.8028,16.07,83,100,0.98,overcast clouds
296,Dombarovskiy,RU,50.7587,59.5386,1.71,90,99,5.39,overcast clouds
297,Dryden,CA,49.7833,-92.7503,-10.8,90,49,6.2,scattered clouds
298,Bulgan,MN,48.8125,103.5347,3.81,83,11,4.94,few clouds
299,Aginskoye,RU,51.1,114.53,6.26,82,20,13.4,few clouds
300,Shahreza,IR,32.0339,51.8794,32.99,53,1,3.85,clear sky
301,Idlib,SY,35.9306,36.6339,46.74,71,49,8.21,scattered clouds
302,Ganta,LR,7.3022,-8.5308,90.64,33,99,1.95,overcast clouds
303,Praya,CV,14.9215,-23.5087,77.54,65,0,24.16,clear sky
304,Ilulissat,GL,69.2167,-51.1,15.82,79,75,16.11,broken clouds
305,Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,24,0,16.11,clear sky
306,Buin,CL,-33.7333,-70.75,90.05,13,0,8.66,clear sky
307,Sabha,LY,27.0377,14.4283,54.61,22,0,7.9,clear sky
308,Makakilo City,US,21.3469,-158.0858,67.01,84,75,8.05,broken clouds
309,Codrington,AU,-38.2667,141.9667,59.94,96,100,4.16,light rain
310,Iqaluit,CA,63.7506,-68.5145,-41.66,88,22,3.13,few clouds
311,Kharagpur,IN,22.3333,87.3333,71.11,45,0,3.58,clear sky
312,Tual,ID,-5.6667,132.75,81.5,75,97,6.69,overcast clouds
313,Ulaanbaatar,MN,47.9077,106.8832,-7.47,71,0,4.47,clear sky
314,Gorontalo,ID,0.5412,123.0595,74.23,96,86,3.51,overcast clouds
315,Bardiyah,LY,31.7561,25.0865,59.22,62,8,9.08,clear sky
316,Mashhad,IR,36.297,59.6062,35.74,64,0,6.91,clear sky
317,Anstruther,GB,56.2231,-2.7023,44.78,75,75,6.91,broken clouds
318,Fairfield,US,41.2668,-73.3162,49.62,51,0,14.97,clear sky
319,Bulungu,CD,-4.55,18.6,79.16,70,95,2.68,overcast clouds
320,Yamada,JP,39.4667,141.95,23.67,54,48,13.69,scattered clouds
321,Kisangani,CD,0.5167,25.2,81.45,53,93,3.02,overcast clouds
322,Beian,NO,63.6559,9.5683,38.01,87,75,31.07,light intensity shower rain
323,Skovorodino,RU,53.9833,123.9167,-19.35,98,100,0.83,overcast clouds
324,Upata,VE,8.0086,-62.3989,79.2,46,45,6.26,scattered clouds
325,Bhanvad,IN,21.9264,69.7736,68.09,52,0,7.61,clear sky
326,Tuatapere,NZ,-46.1333,167.6833,51.67,88,7,2.28,clear sky
327,Jacksonville Beach,US,30.2947,-81.3931,63.05,58,48,8.01,scattered clouds
328,Suleja,NG,9.1758,7.1808,93.2,24,58,2.82,broken clouds
329,Lulea,SE,65.5842,22.1547,32.07,69,0,9.22,clear sky
330,Iralaya,HN,15.0,-83.2333,81.1,67,98,11.21,overcast clouds
331,Gao,ML,16.6362,1.637,78.19,5,100,12.62,overcast clouds
332,Ancud,CL,-41.8697,-73.8203,64.62,64,24,8.48,few clouds
333,Kantang,TH,7.4054,99.5156,72.95,93,100,5.95,overcast clouds
334,Zhuhai,CN,22.2769,113.5678,55.18,44,0,16.11,clear sky
